,nombre,direccion,ciudad,provincia,ci
63,MINISTERIO JESÚS ES MI ROCA,AVENIDA BANAVÍDEZ N° 2400 (ESTE),CHIMBAS ,San Juan,5360.0
64,MINISTERIO EVANGELISTICO MISIONERO UN ENCUENTRO CON JESUS DE SAN JUAN ARGENTINA PARA EL MUNDO,PARANÁ N° 380,CIUDAD DE SAN JUAN ,San Juan,3956.0
65,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 201,ENTRE RIOS 382 NORTE,CONCEPCION,San Juan,14.0
66,ASAMBLEA CRISTIANA - FILIAL 99,SAN LORENZO 1275 ESTE,CONCEPCION ,San Juan,10.0
67,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 28,LAUTARO 27 OESTE,CONCEPCION ,San Juan,597.0
68,IGLESIA PENTECOSTAL CONCILIO LATINOAMERICANO DE NEW YORK EN LA R.A. - FILIAL 29,MENDOZA Y BENAVIDEZ,CONCEPCION ,San Juan,2306.0
69,IGLESIA PENTECOSTAL CONCILIO LATINOAMERICANO DE NEW YORK EN LA R.A. - FILIAL 31,CERECETO 549 OESTE,CONCEPCION ,San Juan,2306.0
70,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 577,SALVADOR MARIA DEL CARRIL NORTE 715,CONCEPCION ,San Juan,14.0
71,ASOCIACION DE LOS TESTIGOS DE JEHOVA,Fray Justo Santa María de Oro N° 297,Caucete,San Juan,1611.0
72,IGLESIA EVANGELICA PENTECOSTAL BUENAS NUEVAS,Fermín Rodríguez 209,Caucete,San Juan,2865.0
73,Ministerio Nueva Esperanza ,Sede Central En La Mza 6 -  Casa 37 - Varrio Villa Santa Paula - Centenario Y Ruta 40,Chimbas,San Juan,4744.0
74,Ministerio Apostólico Profetico Monte De Los Olivos ,Calle: Cipolletti N° 450,Chimbas ,San Juan,4844.0
75,MINISTERIO EVANGELISTICO Y MISIONERO JESUCRISTO ES REY,LOTE HOGAR 34 - MZA. I - CASA 11 - B° LA BEBIDA,DEPTO. RIVADAVIA,San Juan,4464.0
76,ASOCIACION CIVIL UNION MISIONERA EVANGELICA (UME) - FILIAL 4,FALUCHO 1018 OESTE,DESAMPARADO,San Juan,3058.0
77,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 1122,AVDA. CORDOBA 1540,DESAMPARADOS,San Juan,14.0
78,ASOCIACION DE IGLESIA EVANGELICA PENTECOSTAL DE LA ARGENTINA - FILIAL 73,RUTA 20 S/N°,DOS ASEQUIAS,San Juan,168.0
79,IGLESIA PENTECOSTES BIENVENIDO ESPIRITU SANTO - FILIAL 1,LA LAJA 5383 - B° LAS LOMITAS,DPTO. ALBARDÓN,San Juan,3706.0
80,ASOCIACION DE LA IGLESIA DE DIOS EN LA ARGENTINA - FILIAL 242,MORON 3060 - (SUR) - B° LA BEBIDA,DPTO. RIVADAVIA,San Juan,15.0
81,ASOCIACION DE LA IGLESIA DE DIOS EN LA ARGENTINA - FILIAL 370,COMERCIO E IGNACIO DE LA ROSA - LA BEBIDA,DPTO. RIVADAVIA,San Juan,15.0
82,FEDERACION ASAMBLEA CRISTIANA - FILIAL 393,Ruta Nacional 147 - km 437,EL ENCÓN,San Juan,64.0
83,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 187,JACINTO LEANIS CASA 38 MANZANA B B° BASILIO NIEVAS,EL ZONDA,San Juan,5.0
84,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 41,SAN MARTIN ESQUINA MATIAS SANCHEZ,EL ZONDA,San Juan,597.0
85,ASAMBLEA CRISTIANA - FILIAL 114,HONDA S/N° ENTRE EUGENIO FLORES Y COSTA CANAL PARCELA 71 FOLIO 121 PAMPA DEL CHAÑAR,JACHAL,San Juan,10.0
