,nombre,direccion,ciudad,provincia,ci
61,FEDERACION ASAMBLEA CRISTIANA - FILIAL 116,Familia de Roque Herrera,ICAÑO,Catamarca,64.0
62,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 564,RUTA 1 KM. 12 PARCELA 9 25 21 5758,LA CARRERA ,Catamarca,14.0
63,IGLESIA PENTECOSTAL DIOS ES AMOR - FILIAL 1,SAN MARTIN 53 RECREO,LA PAZ,Catamarca,2141.0
64,FEDERACION ASAMBLEA CRISTIANA - FILIAL 117,Casa de Antonio Chacana,LA PUNTILLA,Catamarca,64.0
65, ASOCIACION DE LOS TESTIGOS DE JEHOVA ,B° Virgen del Valle - Casa 16,Londres,Catamarca,1611.0
66,IGLESIA CRISTIANA PENTECOSTAL DE ARGENTINA - FILIAL 164,SAN ANTONIO 203,MUTQUIN ,Catamarca,345.0
67,IGLESIA CRISTIANA EVANGELICA EN ANDALGALA - FILIAL 3,LOTE 4 SECC XIV P2335 HUACHASC,NORTE ANDALGALA,Catamarca,233.0
68,ASOCIACION CULTURAL Y ESPIRITUAL DE LA IGLESIA REFORMADA EN LA ARGENTINA - FILIAL 14,BOUCHARD E/CHICLANA Y BERUTTI S/N,OLAVARRIA,Catamarca,552.0
69,IGLESIA CRISTIANA PENTECOSTAL DE ARGENTINA - FILIAL 18,MUTQUIN,POMAN,Catamarca,345.0
70,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 726,FRAY MAMERTO ESQUIU 42,RECREO,Catamarca,1611.0
71,FEDERACION ASAMBLEA CRISTIANA - FILIAL 118,Luisa de Zelaya l50,RECREO,Catamarca,64.0
72,FEDERACION ASAMBLEA CRISTIANA - FILIAL 119,Pje Colombres S/N - Sud,RECREO,Catamarca,64.0
73,ASOCIACION DE LAS IGLESIAS DE LOS CRISTIANOS DE LA FE EVANGELICA - FILIAL 29,PRINGLES S/N°,RECREO SUR ,Catamarca,199.0
74,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 382,AVELLANEDA 1073,S. F. DEL VALLE DE CATAMARCA,Catamarca,14.0
75,ASOCIACION EVANGELICA ASAMBLEA DE DIOS - FILIAL 192,PADRON 16500 DTO. 10 DISTRITO 23,SAN ANTONIO DE LA PAZ,Catamarca,22.0
76,FEDERACION ASAMBLEA CRISTIANA - FILIAL 120,Teodulfo Barrionuevo 965,SAN FDO. DEL V.CATAMARCA,Catamarca,64.0
77,FEDERACION ASAMBLEA CRISTIANA - FILIAL 121,Flia. Rodolfo Mesa,SAN JOSÉ BANDA,Catamarca,64.0
78,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 892,AV. LONARDI 840 (AHORA SAADI),SANTA MARIA,Catamarca,1611.0
79,FEDERACION ASAMBLEA CRISTIANA - FILIAL 122,Av. 17 de Octubre 547,SANTA MARIA,Catamarca,64.0
80,LA IGLESIA UNIVERSAL DEL REINO DE DIOS - FILIAL 198,25 DE MAYO 656 VILLA MITRE,SANTA MARIA,Catamarca,2771.0
81,IGLESIA CRISTIANA EVANGELICA EN ANDALGALA - FILIAL 4,LOTE 3 SECC XIV P2071 HUACHASC,SUD ANDALGALA,Catamarca,233.0
82,Asociación Asamblea Evangélica Libre - Filial ,25 de Mayo N° 45,Santa María ,Catamarca,1198.0
83,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 935,SARMIENTO 645,TINOGASTA,Catamarca,1611.0
84,DELEGACION ARGENTINA DEL NOROESTE DE LA IGLESIA ADVENTISTA DEL 7ºDIA - FILIAL 60,25 DE MAYO S/N°,TINOGASTA,Catamarca,2630.0
85,IGLESIA CRISTIANA EVANGELICA DE TINOGASTA,25 DE MAYO 740,TINOGASTA,Catamarca,67.0
86,IGLESIA CRISTIANA EVANGELICA DE TINOGASTA - FILIAL 1,BARRIO BARRANCOS (FAMILIA SILVA) FIAMBALA,TINOGASTA,Catamarca,67.0
87,IGLESIA CRISTIANA EVANGELICA DE TINOGASTA - FILIAL 2,FINCA ISTATACO (FAMILIA BARRIONUEVO) MEDANITOS,TINOGASTA,Catamarca,67.0
88,ASAMBLEA CRISTIANA APOSTOLICA PROFETICA - FILIAL 7,RIVADAVIA 657,TINOGASTA ,Catamarca,1051.0
89,IGLESIA CRISTIANA EMBAJADORES DE CRISTO - TINOGASTA,CALLE: COPIAPO N° 1555,TINOGASTA ,Catamarca,5029.0
90,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 963,PASAJE PRIVADO S/N MAT. CATAST,VALLE VIEJO,Catamarca,1611.0
91,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 643,ZALAZAR ESQUINA GUILLERMO CORREA,VALLE VIEJO,Catamarca,672.0
